SKU,ASIN,Product_Name,Category,Price,Rating,Reviews,Sessions,Impressions,Clicks,Orders,Ad_Orders,Sales,Ad_Spend,Inventory,Returns
SKU-0001,B671347608,Storage Hooks Set,Toys & Games,77.73,3.9,2250,4433,3119,287,69,24,5363.37,1300.81,398,9
SKU-0002,B528320513,LED Desk Lamp,Office Products,21.84,4.9,6277,4707,7965,365,72,47,1572.48,380.62,1733,9
SKU-0003,B578201755,USB Hub,Home & Kitchen,18.79,3.0,2568,1214,10806,245,145,36,2724.55,3047.86,789,0
SKU-0004,B348606923,Resistance Bands,Beauty,46.36,4.8,6228,1230,9308,150,375,13,17385.0,2556.97,656,11
SKU-0005,B972242441,Travel Backpack,Pet Supplies,19.44,4.9,1007,3227,12079,371,16,13,311.04,3923.31,1396,1
SKU-0006,B397794083,Travel Backpack,Toys & Games,43.33,3.4,1262,4930,9114,161,333,132,14428.89,355.14,184,28
SKU-0007,B062873528,USB Hub,Office Products,58.49,4.6,1809,3266,10008,142,275,265,16084.75,4266.83,332,28
SKU-0008,B255686417,Yoga Mat,Home & Kitchen,21.73,4.0,1644,4205,6376,282,367,32,7974.91,4311.18,1204,7
SKU-0009,B947122947,Travel Cosmetic Bag Premium,Office Products,41.92,4.7,197,4997,4095,440,482,214,20205.44,4336.12,1801,12
SKU-0010,B125834881,Desk Organizer,Pet Supplies,59.05,4.8,9710,3614,9384,178,567,182,33481.35,752.15,1012,20
SKU-0011,B350072398,Desk Organizer,Sports & Outdoors,55.59,3.2,6277,2574,11942,111,439,98,24404.01,2424.57,1286,6
SKU-0012,B246883963,Storage Hooks Set,Office Products,31.64,3.1,1311,4832,11105,213,402,6,12719.28,4998.99,1213,15
SKU-0013,B271104428,LED Desk Lamp,Beauty,10.41,3.1,5226,860,7442,190,96,94,999.36,1024.21,1594,16
SKU-0014,B264367658,Bluetooth Speaker,Home & Kitchen,14.77,4.5,1741,3697,14672,228,38,7,561.26,916.74,1874,21
SKU-0015,B386747993,Storage Hooks Set,Pet Supplies,69.54,4.0,4247,3538,8119,491,310,182,21557.4,2278.04,1463,19
